tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-29.904062160319548,-18.5,0.0,0.01,0.01,0.0
blue,-24.808124320639095,-18.5,0.0,0.01,0.01,0.0
blue,-19.712186480958646,-18.5,0.0,0.01,0.01,0.0
blue,-14.616248641278196,-18.5,0.0,0.01,0.01,0.0
blue,-9.520310801597743,-18.5,0.0,0.01,0.01,0.0
blue,-4.424372961917293,-18.5,0.0,0.01,0.01,0.0
blue,0.67156487776316,-18.5,0.0,0.01,0.01,0.0
blue,5.767502717443612,-18.5,0.0,0.01,0.01,0.0
blue,10.863440557124065,-18.5,0.0,0.01,0.01,0.0
blue,15.959378396804517,-18.5,0.0,0.01,0.01,0.0
blue,21.05531623648497,-18.5,0.0,0.01,0.01,0.0
blue,26.151254076165415,-18.5,0.0,0.01,0.01,0.0
blue,31.247191915845875,-18.5,0.24448511782195298,0.01,0.01,0.0
blue,33.5,-16.666666666666657,1.2564606673776362,0.01,0.01,0.0
blue,33.5,-11.570728826986198,1.5707963267948966,0.01,0.01,0.0
blue,33.5,-6.474790987305752,1.5707963267948966,0.01,0.01,0.0
blue,33.5,-1.378853147625307,1.5707963267948966,0.01,0.01,0.0
blue,33.5,3.7170846920551526,1.5707963267948966,0.01,0.01,0.0
blue,33.5,8.813022531735598,1.5707963267948966,0.01,0.01,0.0
blue,33.5,13.908960371416057,1.5274375751422438,0.01,0.01,0.0
blue,33.93933982822016,18.939339828220174,2.3561944901923497,0.01,0.01,0.0
blue,28.908960371416015,18.5,-3.0982339019371397,0.01,0.01,0.0
blue,23.81302253173557,18.5,3.141592653589793,0.01,0.01,0.0
blue,18.717084692055124,18.5,3.141592653589793,0.01,0.01,0.0
blue,13.621146852374663,18.5,3.141592653589793,0.01,0.01,0.0
blue,8.525209012694203,18.5,3.141592653589793,0.01,0.01,0.0
blue,3.4292711730137735,18.5,3.141592653589793,0.01,0.01,0.0
blue,-1.6666666666666856,18.5,3.141592653589793,0.01,0.01,0.0
blue,-6.76260450634715,18.5,3.141592653589793,0.01,0.01,0.0
blue,-11.858542346027606,18.5,3.141592653589793,0.01,0.01,0.0
blue,-16.954480185708036,18.5,3.141592653589793,0.01,0.01,0.0
blue,-22.0504180253885,18.5,3.141592653589793,0.01,0.01,0.0
blue,-27.14635586506896,18.5,3.141592653589793,0.01,0.01,0.0
blue,-32.242293704749386,18.5,-2.722764796346623,0.01,0.01,0.0
blue,-33.5,15.67156487776316,-1.7281971135184577,0.01,0.01,0.0
blue,-33.5,10.5756270380827,-1.5707963267948966,0.01,0.01,0.0
blue,-33.5,5.479689198402241,-1.5707963267948966,0.01,0.01,0.0
blue,-33.5,0.38375135872180977,-1.5707963267948966,0.01,0.01,0.0
blue,-33.5,-4.71218648095865,-1.5707963267948966,0.01,0.01,0.0
blue,-33.5,-9.80812432063911,-1.5707963267948966,0.01,0.01,0.0
blue,-33.5,-14.90406216031954,-1.5707963267948966,0.01,0.01,0.0
yellow,-29.966089479199603,-21.5,0.0,0.01,0.01,0.0
yellow,-24.932178958399206,-21.5,0.0,0.01,0.01,0.0
yellow,-19.89826843759881,-21.5,0.0,0.01,0.01,0.0
yellow,-14.864357916798413,-21.5,0.0,0.01,0.01,0.0
yellow,-9.830447395998016,-21.5,0.0,0.01,0.01,0.0
yellow,-4.796536875197618,-21.5,0.0,0.01,0.01,0.0
yellow,0.23737364560277996,-21.5,0.0,0.01,0.01,0.0
yellow,5.271284166403176,-21.5,0.0,0.01,0.01,0.0
yellow,10.305194687203572,-21.5,0.0,0.01,0.01,0.0
yellow,15.339105208003971,-21.5,0.0,0.01,0.01,0.0
yellow,20.37301572880437,-21.5,0.0,0.01,0.01,0.0
yellow,25.406926249604766,-21.5,0.0,0.01,0.01,0.0
