tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-45.57732257169646,1.3844488608142176,0.38977697339038536,0.01,0.01,0.0
blue,-40.75627861536107,3.3649058933780296,0.36979642605570506,0.01,0.01,0.0
blue,-35.86058324881375,5.150938622953514,0.3102864271616414,0.01,0.01,0.0
blue,-30.840324994444018,6.544390495066879,0.21338147310403557,0.01,0.01,0.0
blue,-25.694806804526205,7.35366007946072,0.08649919614570951,0.01,0.01,0.0
blue,-20.48719475894277,7.442168146361325,-0.054322313383410044,0.01,0.01,0.0
blue,-15.319257748854403,6.789481195190516,-0.18669576290986525,0.01,0.01,0.0
blue,-10.268243545780178,5.5118537315877925,-0.2915941566646739,0.01,0.01,0.0
blue,-5.347447132761343,3.7964449216382388,-0.35992728558126813,0.01,0.01,0.0
blue,-0.515915475833591,1.8418592182159168,-0.3887616891310915,0.01,0.01,0.0
blue,4.2985560653869355,-0.15463619210946114,-0.3768985602605913,0.01,0.01,0.0
blue,9.174519723357838,-1.9938180019756542,-0.32288490670725956,0.01,0.01,0.0
blue,14.173624287413391,-3.4587767644115726,-0.2259714311237314,0.01,0.01,0.0
blue,19.307718392393788,-4.32341926232831,-0.09237995393623023,0.01,0.01,0.0
blue,24.511447511877165,-4.416510399780768,0.05844569439214701,0.01,0.01,0.0
blue,29.670120540783646,-3.717090930438147,0.19825393475438752,0.01,0.01,0.0
blue,34.70158470436718,-2.369384560719338,0.30459224441307764,0.01,0.01,0.0
blue,39.60123355225857,-0.5949961425478069,0.36851299757533035,0.01,0.01,0.0
blue,44.42267742830354,1.384448860814216,0.3895682067871449,0.01,0.01,0.0
yellow,-44.42267742830354,-1.3844488608142176,0.38956820678714493,0.01,0.01,0.0
yellow,-39.60123355225858,0.5949961425478023,0.36851299757533,0.01,0.01,0.0
yellow,-34.70158470436717,2.3693845607193356,0.30459224441307775,0.01,0.01,0.0
yellow,-29.67012054078364,3.7170909304381476,0.19825393475438785,0.01,0.01,0.0
yellow,-24.511447511877165,4.416510399780768,0.0584456943921469,0.01,0.01,0.0
yellow,-19.307718392393785,4.323419262328309,-0.09237995393623016,0.01,0.01,0.0
yellow,-14.173624287413384,3.4587767644115726,-0.22597143112373128,0.01,0.01,0.0
yellow,-9.174519723357825,1.9938180019756524,-0.32288490670725983,0.01,0.01,0.0
yellow,-4.29855606538693,0.15463619210945984,-0.37689856026059154,0.01,0.01,0.0
yellow,0.5159154758335971,-1.8418592182159184,-0.38876168913109155,0.01,0.01,0.0
yellow,5.347447132761348,-3.7964449216382405,-0.359927285581268,0.01,0.01,0.0
yellow,10.268243545780182,-5.5118537315877925,-0.2915941566646737,0.01,0.01,0.0
yellow,15.319257748854408,-6.789481195190515,-0.18669576290986523,0.01,0.01,0.0
yellow,20.48719475894278,-7.442168146361326,-0.05432231338340994,0.01,0.01,0.0
yellow,25.69480680452623,-7.353660079460719,0.08649919614570964,0.01,0.01,0.0
yellow,30.840324994444035,-6.544390495066878,0.2133814731040357,0.01,0.01,0.0
yellow,35.86058324881376,-5.150938622953514,0.31028642716164173,0.01,0.01,0.0
yellow,40.756278615361076,-3.3649058933780283,0.3697964260557054,0.01,0.01,0.0
yellow,45.57732257169646,-1.3844488608142191,0.38977697339038536,0.01,0.01,0.0
car_start,-53.0,0.0,0.3950796610517876,0.0,0.0,0.0
